Acquisition Time[ms], ACC_X 0, ACC_Y 0, ACC_Z 0, ACC_X 1, ACC_Y 1, ACC_Z 1, 
0.000,-0.921903,0.045900,-0.357677,-0.477798,0.009522,-0.878689,
1.007,-0.921903,0.044435,-0.361095,-0.476821,0.012207,-0.876735,
0.957,-0.921903,0.044435,0.000000,-0.484390,0.012207,-0.876735,
0.000,-0.921903,0.045167,-0.375011,-0.468825,0.012696,-0.876980,
0.989,-0.923368,0.045167,-0.359874,-0.484390,0.011719,-0.876735,
1.025,-0.937528,0.045167,-0.359874,0.003906,0.011719,-0.876735,
0.000,-0.921903,0.043702,-0.014893,-0.468825,0.009766,-0.876247,
0.975,-0.921903,0.044923,-0.362560,-0.476577,0.008789,-0.878444,
0.994,-0.921903,0.044923,-0.362560,-0.484390,0.008789,-0.878444,
0.000,-0.921903,0.044679,-0.362071,-0.484390,0.011231,-0.879177,
1.002,-0.921903,0.044191,-0.359386,-0.481948,0.009766,-0.890652,
1.013,-0.921903,0.044191,-0.359386,-0.481948,0.009766,-0.876491,
0.000,-0.921903,0.045412,-0.358165,-0.483413,0.008545,-0.875271,
0.986,-0.921903,0.044191,-0.355724,-0.484390,0.011231,-0.876735,
1.033,-0.921903,0.044191,-0.355724,-0.484390,0.000000,-0.876735,
0.000,-0.910672,0.045412,-0.356700,-0.475844,0.013672,-0.875271,
0.970,-0.921903,0.044191,-0.357433,-0.484390,0.013428,-0.874782,
0.997,-0.921903,0.044191,-0.357433,-0.476089,0.013428,-0.874782,
0.000,-0.921903,0.039064,-0.355968,-0.475600,0.014405,-0.878689,
0.999,-0.921903,0.040040,-0.359386,-0.484390,0.016602,-0.878933,
1.000,-0.921903,0.040040,-0.359386,-0.484390,0.016602,-0.873806,
0.000,-0.921903,0.040284,-0.362316,-0.484390,0.015137,-0.873806,
1.000,-0.921903,0.040040,-0.360851,-0.484390,0.014161,-0.874782,
1.002,-0.921903,0.041017,-0.358653,-0.478042,0.013184,-0.877712,
0.000,-0.921903,0.041017,-0.358653,-0.478042,0.013184,-0.877712,
1.001,-0.921903,0.041993,-0.359630,-0.476333,0.011231,-0.879665,
0.999,-0.921903,0.045167,-0.366466,-0.473403,0.011475,-0.882351,
0.000,-0.921903,0.045167,-0.366466,0.010987,0.011475,-0.882351,
0.998,-0.921903,0.043947,-0.365978,-0.484390,0.013916,-0.008789,
1.000,-0.921903,0.040529,-0.361095,-0.484390,0.013672,-0.883816,
0.000,-0.921903,0.040529,-0.361095,-0.476821,0.013672,-0.883816,
1.002,-0.921903,0.040040,-0.358653,-0.484390,0.012940,-0.881130,
0.999,-0.921903,0.042238,-0.354503,-0.476821,0.011475,-0.890652,
0.000,-0.921903,0.042238,-0.354503,-0.476821,0.011475,-0.880398,
0.999,-0.921903,-0.002441,-0.353282,-0.475112,0.009766,-0.879665,
1.000,-0.921903,0.045167,-0.360118,-0.476821,0.009766,-0.878933,
0.000,-0.921903,0.045167,-0.360118,-0.476821,0.009766,-0.878933,
1.000,-0.937528,0.046632,-0.360851,-0.478042,0.011475,-0.877956,
1.000,0.000000,0.045656,-0.359142,-0.477798,0.013184,-0.875271,
0.000,-0.937528,0.045656,-0.359142,-0.484390,0.013184,-0.875271,
1.000,-0.921903,0.046144,-0.363292,-0.484390,0.011231,-0.877224,
1.000,-0.921903,0.043947,-0.360362,-0.475600,0.011231,-0.006348,
0.000,-0.921903,0.043947,-0.360362,-0.484390,0.011231,-0.881374,
1.001,-0.937528,0.041017,-0.361583,-0.476333,0.010010,-0.890652,
1.000,-0.937528,0.043702,-0.362804,-0.484390,0.009522,-0.871852,
0.000,-0.937528,0.043702,-0.362804,-0.484390,0.009522,-0.871852,
1.009,-0.937528,0.043458,-0.357188,-0.480972,0.012207,-0.878689,
0.993,-0.937528,0.044679,-0.354015,-0.484390,0.011231,-0.879421,
0.000,-0.937528,0.047609,-0.357433,-0.479995,0.011231,-0.874782,
0.997,-0.921903,0.047609,-0.357433,-0.477309,0.009278,-0.874782,
1.000,-0.937528,0.047121,-0.356456,-0.484390,0.008789,-0.877468,
0.000,-0.937528,0.043702,-0.356944,-0.477065,0.012207,-0.879421,
1.004,-0.937528,0.043702,-0.345714,-0.477065,0.012207,-0.879421,
